[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /stock                    --> stonk-watcher/internal/handlers.StockHandler (4 handlers)
[GIN-debug] DELETE /stock                    --> stonk-watcher/internal/handlers.TruncateStockInfo (4 handlers)
[GIN-debug] GET    /stock/price              --> stonk-watcher/internal/handlers.StockPriceHandler (4 handlers)
[GIN-debug] GET    /watchlist                --> stonk-watcher/internal/handlers.GetWatchlistHandler (4 handlers)
[GIN-debug] POST   /watchlist                --> stonk-watcher/internal/handlers.UpdateWatchlistHandler (4 handlers)
[GIN-debug] GET    /                         --> stonk-watcher/internal/handlers.StaticHandler.func1 (4 handlers)
[GIN-debug] GET    /static/*file             --> stonk-watcher/internal/handlers.StaticHandler.func1 (4 handlers)
[GIN-debug] Environment variable PORT is undefined. Using port :8080 by default
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2021/03/15 - 11:29:44 | 200 |  417.319872ms |             ::1 | GET      "/stock/price?ticker=XOM"
[GIN] 2021/03/15 - 11:29:44 | 200 |  307.026324ms |             ::1 | GET      "/stock/price?ticker=FTI"
[GIN] 2021/03/15 - 11:29:44 | 200 |  331.923349ms |             ::1 | GET      "/stock/price?ticker=FE"
[GIN] 2021/03/15 - 11:29:44 | 200 |   356.76069ms |             ::1 | GET      "/stock/price?ticker=GME"
[GIN] 2021/03/15 - 11:29:44 | 200 |   369.88536ms |             ::1 | GET      "/stock/price?ticker=PFE"
[GIN] 2021/03/15 - 11:29:44 | 200 |  387.126533ms |             ::1 | GET      "/stock/price?ticker=ET"
[GIN] 2021/03/15 - 11:29:44 | 200 |  267.501133ms |             ::1 | GET      "/stock/price?ticker=T"
[GIN] 2021/03/15 - 11:29:44 | 200 |  267.659387ms |             ::1 | GET      "/stock/price?ticker=VZ"
[GIN] 2021/03/15 - 11:29:44 | 200 |  264.102301ms |             ::1 | GET      "/stock/price?ticker=KO"
[GIN] 2021/03/15 - 11:29:44 | 200 |  283.445497ms |             ::1 | GET      "/stock/price?ticker=NOC"
[GIN] 2021/03/15 - 11:29:44 | 200 |  285.754403ms |             ::1 | GET      "/stock/price?ticker=PEP"
[GIN] 2021/03/15 - 11:29:44 | 200 |  1.202408713s |             ::1 | GET      "/stock/price?ticker=CVX"
[GIN] 2021/03/15 - 11:29:44 | 200 |  294.564324ms |             ::1 | GET      "/stock/price?ticker=LMT"
[GIN] 2021/03/15 - 11:29:45 | 200 |   316.71489ms |             ::1 | GET      "/stock/price?ticker=BBY"
